dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error
all_equal,radix,seq,int64,100000000,8,10014.1,1.00141e-07,100.141,9.98594,8e+08,0.8,0.0798875,true,true,"none"
all_equal,radix,omp,int64,100000000,8,3016.72,3.01672e-08,30.1672,33.1486,8e+08,0.8,0.265189,true,true,"none"
all_equal,radix,seq,int64,10000000,8,998.92,9.9892e-08,99.892,10.0108,8e+07,0.08,0.0800865,true,true,"none"
all_equal,radix,omp,int64,10000000,8,310.669,3.10669e-08,31.0669,32.1886,8e+07,0.08,0.257509,true,true,"none"
all_equal,radix,seq,int64,1000000,8,97.4828,9.74828e-08,97.4828,10.2582,8e+06,0.008,0.0820658,true,true,"none"
all_equal,radix,omp,int64,1000000,8,31.5103,3.15103e-08,31.5103,31.7356,8e+06,0.008,0.253885,true,true,"none"
all_equal,radix,seq,int64,100000,8,9.75966,9.75966e-08,97.5966,10.2463,800000,0.0008,0.08197,true,true,"none"
all_equal,radix,omp,int64,100000,8,3.55405,3.55405e-08,35.5405,28.1369,800000,0.0008,0.225095,true,true,"none"
all_equal,radix,seq,int64,10000,8,1.13538,1.13538e-07,113.538,8.80764,80000,8e-05,0.0704611,true,true,"none"
all_equal,radix,omp,int64,10000,8,1.38184,1.38184e-07,138.184,7.23673,80000,8e-05,0.0578938,true,true,"none"
all_equal,radix,seq,int64,1000,8,0.474845,4.74845e-07,474.845,2.10595,8000,8e-06,0.0168476,true,true,"none"
all_equal,radix,omp,int64,1000,8,0.68371,6.8371e-07,683.71,1.46261,8000,8e-06,0.0117009,true,true,"none"
all_equal,radix,seq,int64,100,8,0.046043,4.6043e-07,460.43,2.17188,800,8e-07,0.0173751,true,true,"none"
all_equal,radix,omp,int64,100,8,0.71848,7.1848e-06,7184.8,0.139183,800,8e-07,0.00111346,true,true,"none"
exponential,radix,seq,int64,100000000,8,13481.9,1.34819e-07,134.819,7.41735,8e+08,0.8,0.0593388,true,true,"none"
exponential,radix,omp,int64,100000000,8,3537.47,3.53747e-08,35.3747,28.2688,8e+08,0.8,0.22615,true,true,"none"
exponential,radix,seq,int64,10000000,8,1306.72,1.30672e-07,130.672,7.65277,8e+07,0.08,0.0612222,true,true,"none"
exponential,radix,omp,int64,10000000,8,353.885,3.53885e-08,35.3885,28.2578,8e+07,0.08,0.226062,true,true,"none"
exponential,radix,seq,int64,1000000,8,102.458,1.02458e-07,102.458,9.7601,8e+06,0.008,0.0780808,true,true,"none"
exponential,radix,omp,int64,1000000,8,33.7653,3.37653e-08,33.7653,29.6162,8e+06,0.008,0.236929,true,true,"none"
exponential,radix,seq,int64,100000,8,10.4843,1.04843e-07,104.843,9.53806,800000,0.0008,0.0763045,true,true,"none"
exponential,radix,omp,int64,100000,8,3.84809,3.84809e-08,38.4809,25.9869,800000,0.0008,0.207895,true,true,"none"
exponential,radix,seq,int64,10000,8,1.64343,1.64343e-07,164.344,6.08482,80000,8e-05,0.0486785,true,true,"none"
exponential,radix,omp,int64,10000,8,1.38932,1.38932e-07,138.931,7.19779,80000,8e-05,0.0575823,true,true,"none"
exponential,radix,seq,int64,1000,8,0.275113,2.75113e-07,275.113,3.63487,8000,8e-06,0.029079,true,true,"none"
exponential,radix,omp,int64,1000,8,0.946524,9.46524e-07,946.524,1.0565,8000,8e-06,0.00845198,true,true,"none"
exponential,radix,seq,int64,100,8,0.055962,5.5962e-07,559.62,1.78693,800,8e-07,0.0142954,true,true,"none"
exponential,radix,omp,int64,100,8,0.625525,6.25525e-06,6255.25,0.159866,800,8e-07,0.00127893,true,true,"none"
gaussian,radix,seq,int64,100000000,8,10950.5,1.09505e-07,109.505,9.13196,8e+08,0.8,0.0730557,true,true,"none"
gaussian,radix,omp,int64,100000000,8,3334.36,3.33436e-08,33.3436,29.9908,8e+08,0.8,0.239926,true,true,"none"
gaussian,radix,seq,int64,10000000,8,1073.55,1.07355e-07,107.355,9.31487,8e+07,0.08,0.0745189,true,true,"none"
gaussian,radix,omp,int64,10000000,8,337.251,3.37251e-08,33.7251,29.6515,8e+07,0.08,0.237212,true,true,"none"
gaussian,radix,seq,int64,1000000,8,98.6203,9.86203e-08,98.6203,10.1399,8e+06,0.008,0.0811192,true,true,"none"
gaussian,radix,omp,int64,1000000,8,36.8299,3.68299e-08,36.8299,27.1518,8e+06,0.008,0.217215,true,true,"none"
gaussian,radix,seq,int64,100000,8,11.4765,1.14765e-07,114.765,8.71343,800000,0.0008,0.0697074,true,true,"none"
gaussian,radix,omp,int64,100000,8,3.81112,3.81112e-08,38.1112,26.239,800000,0.0008,0.209912,true,true,"none"
gaussian,radix,seq,int64,10000,8,1.50032,1.50032e-07,150.032,6.66526,80000,8e-05,0.0533221,true,true,"none"
gaussian,radix,omp,int64,10000,8,1.51369,1.51369e-07,151.369,6.60636,80000,8e-05,0.0528509,true,true,"none"
gaussian,radix,seq,int64,1000,8,0.383636,3.83636e-07,383.636,2.60664,8000,8e-06,0.0208531,true,true,"none"
gaussian,radix,omp,int64,1000,8,0.913696,9.13696e-07,913.696,1.09446,8000,8e-06,0.00875565,true,true,"none"
gaussian,radix,seq,int64,100,8,0.069496,6.9496e-07,694.96,1.43893,800,8e-07,0.0115115,true,true,"none"
gaussian,radix,omp,int64,100,8,0.903861,9.03861e-06,9038.61,0.110636,800,8e-07,0.000885092,true,true,"none"
reverse,radix,seq,int64,100000000,8,13403.6,1.34036e-07,134.036,7.46067,8e+08,0.8,0.0596854,true,true,"none"
reverse,radix,omp,int64,100000000,8,3642.07,3.64207e-08,36.4207,27.4569,8e+08,0.8,0.219655,true,true,"none"
reverse,radix,seq,int64,10000000,8,1398.48,1.39848e-07,139.848,7.1506,8e+07,0.08,0.0572048,true,true,"none"
reverse,radix,omp,int64,10000000,8,366.152,3.66152e-08,36.6152,27.311,8e+07,0.08,0.218488,true,true,"none"
reverse,radix,seq,int64,1000000,8,103.538,1.03538e-07,103.538,9.65825,8e+06,0.008,0.077266,true,true,"none"
reverse,radix,omp,int64,1000000,8,33.067,3.3067e-08,33.067,30.2416,8e+06,0.008,0.241933,true,true,"none"
reverse,radix,seq,int64,100000,8,10.3508,1.03508e-07,103.508,9.66113,800000,0.0008,0.077289,true,true,"none"
reverse,radix,omp,int64,100000,8,4.17364,4.17364e-08,41.7364,23.9599,800000,0.0008,0.191679,true,true,"none"
reverse,radix,seq,int64,10000,8,1.98059,1.98059e-07,198.059,5.049,80000,8e-05,0.040392,true,true,"none"
reverse,radix,omp,int64,10000,8,1.23069,1.23069e-07,123.069,8.12555,80000,8e-05,0.0650044,true,true,"none"
reverse,radix,seq,int64,1000,8,0.317692,3.17692e-07,317.692,3.1477,8000,8e-06,0.0251816,true,true,"none"
reverse,radix,omp,int64,1000,8,0.659486,6.59486e-07,659.486,1.51633,8000,8e-06,0.0121307,true,true,"none"
reverse,radix,seq,int64,100,8,0.069488,6.9488e-07,694.88,1.4391,800,8e-07,0.0115128,true,true,"none"
reverse,radix,omp,int64,100,8,0.814691,8.14691e-06,8146.91,0.122746,800,8e-07,0.000981967,true,true,"none"
sorted,radix,seq,int64,100000000,8,13396.6,1.33966e-07,133.966,7.46456,8e+08,0.8,0.0597165,true,true,"none"
sorted,radix,omp,int64,100000000,8,3631.28,3.63128e-08,36.3128,27.5385,8e+08,0.8,0.220308,true,true,"none"
sorted,radix,seq,int64,10000000,8,1307.17,1.30717e-07,130.717,7.65012,8e+07,0.08,0.061201,true,true,"none"
sorted,radix,omp,int64,10000000,8,363.825,3.63825e-08,36.3825,27.4857,8e+07,0.08,0.219886,true,true,"none"
sorted,radix,seq,int64,1000000,8,101.754,1.01754e-07,101.754,9.82763,8e+06,0.008,0.0786211,true,true,"none"
sorted,radix,omp,int64,1000000,8,33.487,3.3487e-08,33.487,29.8623,8e+06,0.008,0.238899,true,true,"none"
sorted,radix,seq,int64,100000,8,10.3622,1.03622e-07,103.622,9.65046,800000,0.0008,0.0772037,true,true,"none"
sorted,radix,omp,int64,100000,8,4.41799,4.41799e-08,44.1799,22.6347,800000,0.0008,0.181078,true,true,"none"
sorted,radix,seq,int64,10000,8,1.78431,1.78431e-07,178.431,5.60439,80000,8e-05,0.0448352,true,true,"none"
sorted,radix,omp,int64,10000,8,1.33079,1.33079e-07,133.079,7.51434,80000,8e-05,0.0601148,true,true,"none"
sorted,radix,seq,int64,1000,8,0.317929,3.17929e-07,317.929,3.14536,8000,8e-06,0.0251629,true,true,"none"
sorted,radix,omp,int64,1000,8,1.05626,1.05626e-06,1056.26,0.946737,8000,8e-06,0.00757389,true,true,"none"
sorted,radix,seq,int64,100,8,0.068828,6.8828e-07,688.28,1.4529,800,8e-07,0.0116232,true,true,"none"
sorted,radix,omp,int64,100,8,0.919008,9.19008e-06,9190.08,0.108813,800,8e-07,0.000870504,true,true,"none"
staggered,radix,seq,int64,100000000,8,13394.6,1.33946e-07,133.946,7.46567,8e+08,0.8,0.0597254,true,true,"none"
staggered,radix,omp,int64,100000000,8,3641.65,3.64165e-08,36.4165,27.4601,8e+08,0.8,0.219681,true,true,"none"
staggered,radix,seq,int64,10000000,8,1325.57,1.32557e-07,132.557,7.54392,8e+07,0.08,0.0603513,true,true,"none"
staggered,radix,omp,int64,10000000,8,363.412,3.63412e-08,36.3412,27.5169,8e+07,0.08,0.220136,true,true,"none"
staggered,radix,seq,int64,1000000,8,113.975,1.13975e-07,113.975,8.77389,8e+06,0.008,0.0701911,true,true,"none"
staggered,radix,omp,int64,1000000,8,35.0754,3.50754e-08,35.0754,28.51,8e+06,0.008,0.22808,true,true,"none"
staggered,radix,seq,int64,100000,8,10.2009,1.02009e-07,102.009,9.80304,800000,0.0008,0.0784243,true,true,"none"
staggered,radix,omp,int64,100000,8,4.004,4.004e-08,40.04,24.975,800000,0.0008,0.1998,true,true,"none"
staggered,radix,seq,int64,10000,8,2.09679,2.09679e-07,209.679,4.7692,80000,8e-05,0.0381536,true,true,"none"
staggered,radix,omp,int64,10000,8,1.52442,1.52442e-07,152.442,6.55986,80000,8e-05,0.0524789,true,true,"none"
staggered,radix,seq,int64,1000,8,0.349711,3.49711e-07,349.711,2.8595,8000,8e-06,0.022876,true,true,"none"
staggered,radix,omp,int64,1000,8,0.704647,7.04647e-07,704.647,1.41915,8000,8e-06,0.0113532,true,true,"none"
staggered,radix,seq,int64,100,8,0.075773,7.5773e-07,757.73,1.31973,800,8e-07,0.0105579,true,true,"none"
staggered,radix,omp,int64,100,8,0.914818,9.14818e-06,9148.18,0.109311,800,8e-07,0.000874491,true,true,"none"
uniform_counting_limit,radix,seq,int64,100000000,8,12605.3,1.26053e-07,126.053,7.93319,8e+08,0.8,0.0634655,true,true,"none"
uniform_counting_limit,radix,omp,int64,100000000,8,3796.81,3.79681e-08,37.9681,26.3379,8e+08,0.8,0.210703,true,true,"none"
uniform_counting_limit,radix,seq,int64,10000000,8,1245.43,1.24543e-07,124.543,8.02934,8e+07,0.08,0.0642347,true,true,"none"
uniform_counting_limit,radix,omp,int64,10000000,8,378.549,3.78549e-08,37.8549,26.4167,8e+07,0.08,0.211334,true,true,"none"
uniform_counting_limit,radix,seq,int64,1000000,8,102.319,1.02319e-07,102.319,9.77332,8e+06,0.008,0.0781865,true,true,"none"
uniform_counting_limit,radix,omp,int64,1000000,8,40.1864,4.01864e-08,40.1864,24.8841,8e+06,0.008,0.199073,true,true,"none"
uniform_counting_limit,radix,seq,int64,100000,8,10.1839,1.01839e-07,101.839,9.81939,800000,0.0008,0.0785551,true,true,"none"
uniform_counting_limit,radix,omp,int64,100000,8,4.83636,4.83636e-08,48.3636,20.6767,800000,0.0008,0.165414,true,true,"none"
uniform_counting_limit,radix,seq,int64,10000,8,1.04607,1.04607e-07,104.607,9.55959,80000,8e-05,0.0764767,true,true,"none"
uniform_counting_limit,radix,omp,int64,10000,8,1.6491,1.6491e-07,164.91,6.06392,80000,8e-05,0.0485114,true,true,"none"
uniform_counting_limit,radix,seq,int64,1000,8,0.31993,3.1993e-07,319.93,3.12568,8000,8e-06,0.0250055,true,true,"none"
uniform_counting_limit,radix,omp,int64,1000,8,0.793038,7.93038e-07,793.038,1.26097,8000,8e-06,0.0100878,true,true,"none"
uniform_counting_limit,radix,seq,int64,100,8,0.055294,5.5294e-07,552.94,1.80851,800,8e-07,0.0144681,true,true,"none"
