dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error
all_equal,radix,seq,uint64,100000000,8,8666.45,8.66645e-08,86.6645,11.5387,8e+08,0.8,0.09231,true,true,"none"
all_equal,radix,omp,uint64,100000000,8,1638.67,1.63867e-08,16.3867,61.025,8e+08,0.8,0.4882,true,true,"none"
all_equal,counting,seq,uint64,100000000,8,2599.45,2.59945e-08,25.9945,38.4696,8e+08,0.8,0.307757,true,true,"none"
all_equal,counting,omp,uint64,100000000,8,2315.2,2.3152e-08,23.152,43.1929,8e+08,0.8,0.345543,true,true,"none"
all_equal,bucket,seq,uint64,100000000,8,1263.42,1.26342e-08,12.6342,79.1505,8e+08,0.8,0.633204,true,true,"none"
all_equal,bucket,omp,uint64,100000000,8,1264.27,1.26427e-08,12.6427,79.0972,8e+08,0.8,0.632777,true,true,"none"
all_equal,pigeonhole,seq,uint64,100000000,8,4778.07,4.77807e-08,47.7807,20.929,8e+08,0.8,0.167432,true,true,"none"
all_equal,pigeonhole,omp,uint64,100000000,8,4429.87,4.42987e-08,44.2987,22.574,8e+08,0.8,0.180592,true,true,"none"
all_equal,bitonic,seq,uint64,100000000,8,199046,1.99046e-06,1990.46,0.502396,8e+08,0.8,0.00401917,true,true,"none"
all_equal,bitonic,omp,uint64,100000000,8,34733.2,3.47332e-07,347.332,2.87909,8e+08,0.8,0.0230327,true,true,"none"
all_equal,radix,seq,uint64,10000000,8,862.089,8.62089e-08,86.2089,11.5997,8e+07,0.08,0.0927979,true,true,"none"
all_equal,radix,omp,uint64,10000000,8,169.174,1.69174e-08,16.9174,59.1108,8e+07,0.08,0.472886,true,true,"none"
all_equal,counting,seq,uint64,10000000,8,260.507,2.60507e-08,26.0507,38.3866,8e+07,0.08,0.307093,true,true,"none"
all_equal,counting,omp,uint64,10000000,8,237.153,2.37153e-08,23.7153,42.1669,8e+07,0.08,0.337335,true,true,"none"
all_equal,bucket,seq,uint64,10000000,8,125.752,1.25752e-08,12.5752,79.5216,8e+07,0.08,0.636173,true,true,"none"
all_equal,bucket,omp,uint64,10000000,8,125.883,1.25883e-08,12.5883,79.4388,8e+07,0.08,0.63551,true,true,"none"
all_equal,pigeonhole,seq,uint64,10000000,8,483.877,4.83877e-08,48.3877,20.6664,8e+07,0.08,0.165331,true,true,"none"
all_equal,pigeonhole,omp,uint64,10000000,8,451.467,4.51467e-08,45.1467,22.15,8e+07,0.08,0.1772,true,true,"none"
all_equal,bitonic,seq,uint64,10000000,8,19344.7,1.93447e-06,1934.47,0.516938,8e+07,0.08,0.0041355,true,true,"none"
all_equal,bitonic,omp,uint64,10000000,8,3504.34,3.50434e-07,350.434,2.8536,8e+07,0.08,0.0228288,true,true,"none"
all_equal,radix,seq,uint64,1000000,8,83.0034,8.30034e-08,83.0034,12.0477,8e+06,0.008,0.0963816,true,true,"none"
all_equal,radix,omp,uint64,1000000,8,15.3634,1.53634e-08,15.3634,65.0899,8e+06,0.008,0.520719,true,true,"none"
all_equal,counting,seq,uint64,1000000,8,25.7104,2.57104e-08,25.7104,38.8947,8e+06,0.008,0.311158,true,true,"none"
all_equal,counting,omp,uint64,1000000,8,25.2079,2.52079e-08,25.2079,39.67,8e+06,0.008,0.31736,true,true,"none"
all_equal,bucket,seq,uint64,1000000,8,12.6606,1.26606e-08,12.6606,78.985,8e+06,0.008,0.63188,true,true,"none"
all_equal,bucket,omp,uint64,1000000,8,12.6053,1.26053e-08,12.6053,79.3314,8e+06,0.008,0.634651,true,true,"none"
all_equal,pigeonhole,seq,uint64,1000000,8,46.984,4.6984e-08,46.984,21.2838,8e+06,0.008,0.170271,true,true,"none"
all_equal,pigeonhole,omp,uint64,1000000,8,44.1289,4.41289e-08,44.1289,22.6609,8e+06,0.008,0.181287,true,true,"none"
all_equal,bitonic,seq,uint64,1000000,8,832.487,8.32487e-07,832.487,1.20122,8e+06,0.008,0.00960976,true,true,"none"
all_equal,bitonic,omp,uint64,1000000,8,158.672,1.58672e-07,158.672,6.3023,8e+06,0.008,0.0504184,true,true,"none"
all_equal,radix,seq,uint64,100000,8,8.43956,8.43956e-08,84.3956,11.849,800000,0.0008,0.0947917,true,true,"none"
all_equal,radix,omp,uint64,100000,8,2.91224,2.91224e-08,29.1224,34.3378,800000,0.0008,0.274703,true,true,"none"
all_equal,counting,seq,uint64,100000,8,2.62966,2.62966e-08,26.2966,38.0277,800000,0.0008,0.304222,true,true,"none"
