dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error,blocks,repeats,kernel_ms_avg,kernel_ms_std,total_ms_avg,total_ms_std,verified,dataset
uniform,radix,gpu,uint64,10000,256,0.994248,0.000000,99.424833,10.057849,80000.000000,0.000080,0.080463,1,1,0.000000,40,3,0.951275,0.108904,0.994248,0.110483,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,10000,256,0.279166,0.000000,27.916567,35.821024,80000.000000,0.000080,0.286568,1,1,0.000000,40,3,0.261632,0.004938,0.279166,0.006735,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,10000,256,1.290885,0.000000,129.088467,7.746625,80000.000000,0.000080,0.061973,1,1,0.000000,40,3,1.282112,0.258315,1.290885,0.260483,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,100000,256,2.068629,0.000000,20.686290,48.341196,800000.000000,0.000800,0.386730,1,1,0.000000,64,3,2.025632,0.115667,2.068629,0.116738,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,100000,256,0.721864,0.000000,7.218637,138.530313,800000.000000,0.000800,1.108243,1,1,0.000000,64,3,0.660149,0.006672,0.721864,0.018958,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,100000,256,2.462800,0.000000,24.628003,40.604185,800000.000000,0.000800,0.324833,1,1,0.000000,64,3,2.439061,0.227379,2.462800,0.226205,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,1000000,256,12.674853,0.000000,12.674853,78.896376,8000000.000000,0.008000,0.631171,1,1,0.000000,64,3,12.626891,0.127584,12.674853,0.131596,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,1000000,256,7.846144,0.000000,7.846144,127.451140,8000000.000000,0.008000,1.019609,1,1,0.000000,64,3,7.715563,0.004411,7.846144,0.010673,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,1000000,256,13.815149,0.000000,13.815149,72.384306,8000000.000000,0.008000,0.579074,1,1,0.000000,64,3,13.795605,0.230001,13.815149,0.228790,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,10000000,256,115.531523,0.000000,11.553152,86.556463,80000000.000000,0.080000,0.692452,1,1,0.000000,64,3,115.482965,0.111907,115.531523,0.113477,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,10000000,256,139.383311,0.000000,13.938331,71.744601,80000000.000000,0.080000,0.573957,1,1,0.000000,64,3,138.468216,0.003672,139.383311,0.209733,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,10000000,256,124.536948,0.000000,12.453695,80.297455,80000000.000000,0.080000,0.642380,1,1,0.000000,64,3,124.521525,0.254029,124.536948,0.254587,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
