dist,algo,impl,dtype,N,threads,ms,s_per_elem,ns_per_elem,mels_per_s,bytes,GB,GBps,sorted,match_ref,error,blocks,repeats,kernel_ms_avg,kernel_ms_std,total_ms_avg,total_ms_std,verified,dataset
uniform,radix,gpu,uint64,10000,256,2.432569,0.000000,243.256867,4.110881,80000.000000,0.000080,0.032887,1,1,0.000000,40,3,2.384555,1.310520,2.432569,1.312427,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,10000,256,0.272822,0.000000,27.282200,36.653936,80000.000000,0.000080,0.293231,1,1,0.000000,40,3,0.250912,0.015907,0.272822,0.020874,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,10000,256,2.101062,0.000000,210.106167,4.759499,80000.000000,0.000080,0.038076,1,1,0.000000,40,3,2.085323,0.371233,2.101062,0.371347,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,100000,256,14.313410,0.000000,143.134103,6.986455,800000.000000,0.000800,0.055892,1,1,0.000000,272,3,14.263883,0.180155,14.313410,0.184707,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,100000,256,0.590134,0.000000,5.901337,169.453135,800000.000000,0.000800,1.355625,1,1,0.000000,272,3,0.483051,0.009105,0.590134,0.023775,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,100000,256,15.258176,0.000000,152.581757,6.553863,800000.000000,0.000800,0.052431,1,1,0.000000,272,3,15.184853,0.475314,15.258176,0.471190,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,1000000,256,18.028534,0.000000,18.028534,55.467628,8000000.000000,0.008000,0.443741,1,1,0.000000,272,3,17.976235,0.183271,18.028534,0.184180,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,1000000,256,5.707669,0.000000,5.707669,175.202872,8000000.000000,0.008000,1.401623,1,1,0.000000,272,3,5.523915,0.008719,5.707669,0.009190,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,1000000,256,18.765210,0.000000,18.765210,53.290105,8000000.000000,0.008000,0.426321,1,1,0.000000,272,3,18.656981,0.476586,18.765210,0.473163,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n1000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,10000000,256,52.174060,0.000000,5.217406,191.666128,80000000.000000,0.080000,1.533329,1,1,0.000000,272,3,52.115050,0.350815,52.174060,0.353058,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,10000000,256,100.879973,0.000000,10.087997,99.127703,80000000.000000,0.080000,0.793022,1,1,0.000000,272,3,100.080210,0.021670,100.879973,0.186374,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,10000000,256,45.597636,0.000000,4.559764,219.309613,80000000.000000,0.080000,1.754477,1,1,0.000000,272,3,45.475508,0.522278,45.597636,0.518909,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n10000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,radix,gpu,uint64,100000000,256,319.205037,0.000000,3.192050,313.278264,800000000.000000,0.800000,2.506226,1,1,0.000000,272,3,319.136414,0.288669,319.205037,0.299375,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bitonic,gpu,uint64,100000000,256,1093.156592,0.000000,10.931566,91.478202,800000000.000000,0.800000,0.731826,1,1,0.000000,272,3,1086.699666,0.015516,1093.156592,1.725885,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
uniform,bucket_radix,gpu,uint64,100000000,256,325.010204,0.000000,3.250102,307.682647,800000000.000000,0.800000,2.461461,1,1,0.000000,272,3,324.881907,0.441773,325.010204,0.437446,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/uniform_n100000000_min0_max4294967295_dtypeuint64_seed42.bin
gaussian,radix,gpu,uint64,10000,256,1.716912,0.000000,171.691167,5.824411,80000.000000,0.000080,0.046595,1,1,0.000000,40,3,1.671360,0.196548,1.716912,0.202910,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
gaussian,bitonic,gpu,uint64,10000,256,0.249192,0.000000,24.919200,40.129699,80000.000000,0.000080,0.321038,1,1,0.000000,40,3,0.229589,0.010119,0.249192,0.015814,1,/mnt/vstor/courses/csds438/sxi219/Performance-Comparison-Non-Comparison-Sorting-Algorithms/datasets_unsigned/gaussian_n10000_min0_max4294967295_dtypeuint64_seed42_mu0.0_sigma100.0.bin
